company_name,contact_person_last_name,siren,siret,phone_1,postalcode,street,city,website
GBI GROUPE BEAUSEJOUR IMMOBILIER,- Saint-Herblain Beausejour Immobilier,449027143,44902714300022,33240853232,44800,20 rue Pierre Blard,SAINT-HERBLAIN,beausejour-immobilier.fr
RH Patrimoine,Patrimoine Rh,839119930,83911993000031,33664234441,33000,Place Peyberland,Bordeaux,rhpatrimoine.com
MAXIHOME,MAXIHOME,852003847,85200384700013,33972290818,13500,40 Bd Marcel Cachin,Martigues,maxihome.net
CAP WEST GROUPE,Cap West Groupe,454023946,45402394600022,33272656810,44240,30 Rue De L'Europe,La Chapelle-Sur-Erdre,capwestresidence.fr
GROUPE BEAUSEJOUR IMMOBILIER ST HERBLAIN BOURG,Groupe Beausejour Immobilier St Herblain Bourg,449027143,44902714300022,null,44800,20 Rue Pierre Blard,Saint-Herblain,beausejour-immobilier.fr
ZELIDOM,ZELIDOM,690802053,69080205300023,33970808585,31000,154 Bis Allée De Barcelone,Toulouse,zelidom.fr
Maisons Oxygène Agence d'Annecy,Maisons Oxygène Agence D'Annecy,338604333,33860433300279,33671413330,74940,14 Avenue du Pré de Challes,Annecy le Vieux,https://www.maisonsoxygene.com
PIETRAPOLIS TARARE,Pietrapolis Tarare,879649234,87964923400017,33474108585,69170,2 Rue De La Pêcherie,TARARE,pietrapolis.fr
Sixième Avenue Grand Hainaut,Sixième Avenue Grand Hainaut,828655464,82865546400018,33327492910,59300,53 Rue De Mons 59300 Valenciennes,Valenciennes,stephaneplazaimmobilier.com
ZELIDOM PROMOTEUR,Zelidom Promoteur,690802053,69080205300023,33970808585,31000,154 BIS ALLEE DE BARCELONE,TOULOUSE,zelidom.fr
AB IMMOBILIER,Nice Port Nestenn,839423464,83942346400016,33493269095,6300,18 Boulevard de Riquier,Nice,immobilier-nice-port.nestenn.com
ALBERT 1ER IMMOBILIER,Albert 1Er Immobilier,845021583,84502158300016,33676214134,76600,25 Rue Des Drapiers122 Boulevard Albert 1Er,LE HAVRE,agencealbert1er.fr
COSIALIS,COSIALIS,339198913,33919891300115,33472788987,69008,108 Avenue Des Freres Lumiere,Lyon,cosialis.fr
IGOR IMMOBILIER,Igor Immobilier,507500346,50750034600097,33240553968,44590,8 Place Bon Accueil,Derval,igor-immobilier.com
NESTENN Nice Port,Nice Port Nestenn,839423464,83942346400016,33493269095,6300,Villa Barel 18 Boulevard De Riquier,Nice,https://www.nestenn.com
Pietrapolis Villefranche Beaujolais,Pietrapolis Villefranche Beaujolais,951806371,95180637100013,33474097730,69400,596 Boulevard Albert Camus,Villefranche-sur-Saône,pietrapolis.fr
